{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200       0.976679     -0.0319509    0.000662688
-4.9  -4.8   5   0   200       0.974447     -0.0301451    0.000649327
-4.8  -4.7   5   0   200       0.971896     -0.0292071    0.000642993
-4.7  -4.6   5   0   200       0.978562     -0.0281044    0.000638892
-4.6  -4.5   5   0   200       0.976241     -0.0267004    0.000618898
-4.5  -4.4   5   0   200       0.979301      -0.025425    0.000598185
-4.4  -4.3   5   0   200       0.977783     -0.0236785    0.000570029
-4.3  -4.2   5   0   200       0.976621     -0.0212645    0.000538178
-4.2  -4.1   5   0   200       0.980393     -0.0205685    0.000520173
-4.1    -4   5   0   200       0.980326     -0.0201521    0.000517395
  -4  -3.9   5   0   200       0.978107     -0.0194318     0.00050824
-3.9  -3.8   5   0   200       0.976848      -0.019374    0.000519164
-3.8  -3.7   5   0   200       0.974426     -0.0191988    0.000526982
-3.7  -3.6   5   0   200       0.977169     -0.0177649    0.000450337
-3.6  -3.5   5   0   200       0.996883     -0.0171998    0.000421513
-3.5  -3.4   5   0   200        1.01042     -0.0162094    0.000370054
-3.4  -3.3   5   0   200        1.01385     -0.0141567    0.000282519
-3.3  -3.2   5   0   200        1.01377     -0.0118355    0.000170822
-3.2  -3.1   5   0   200        1.01583    -0.00905035     3.5539e-05
-3.1    -3   5   0   200        1.01579    -0.00690321   -6.48635e-05
  -3  -2.9   5   0   200         1.0175    -0.00428695   -0.000185884
-2.9  -2.8   5   0   200        1.01592    -0.00124603   -0.000327973
-2.8  -2.7   5   0   200        1.01192      0.0026375   -0.000514553
-2.7  -2.6   5   0   200        1.00821     0.00639832   -0.000674576
-2.6  -2.5   5   0   200        1.00091      0.0105112   -0.000860247
-2.5  -2.4   5   0   200       0.998402      0.0163069    -0.00108825
-2.4  -2.3   5   0   200       0.992937      0.0191658    -0.00120488
-2.3  -2.2   5   0   200        0.98468      0.0248141    -0.00143906
-2.2  -2.1   5   0   200       0.979331       0.026117    -0.00147794
-2.1    -2   5   0   200       0.964305      0.0269151    -0.00148736
  -2  -1.9   5   0   200       0.944888      0.0291468    -0.00157025
-1.9  -1.8   5   0   200       0.948983      0.0277606    -0.00149013
-1.8  -1.7   5   0   200       0.951992      0.0259403    -0.00139581
-1.7  -1.6   5   0   200       0.952187       0.024296    -0.00129987
-1.6  -1.5   5   0   200       0.946171      0.0233681    -0.00122641
-1.5  -1.4   5   0   200       0.945702      0.0225314    -0.00119112
